0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.000226416 5.41845e-07 8.93617e-08 
0.000929301 1.61355e-06 3.235e-07 
0.00360932 4.66374e-06 1.49931e-06 
0.00920387 1.29031e-05 5.55134e-06 
0.018251 3.09216e-05 1.46304e-05 
0.0307493 7.00468e-05 3.17025e-05 
0.0464864 0.000152479 6.22725e-05 
0.0652101 0.000304358 0.000113781 
0.0864278 0.000546357 0.000193201 
0.109843 0.000900929 0.000307146 
0.135111 0.00139 0.000462358 
0.162075 0.00204132 0.00066719 
0.190388 0.00286986 0.000926917 
0.220098 0.00391466 0.00125268 
0.250953 0.00519182 0.00164992 
0.282903 0.00673393 0.00212819 
0.315936 0.00857739 0.00269873 
0.349992 0.0107539 0.00337098 
0.385044 0.0133002 0.00415604 
0.421138 0.0162654 0.00506938 
0.458423 0.0197191 0.00613259 
0.496638 0.0236647 0.00735018 
0.535982 0.0281899 0.00874976 
0.576109 0.0332749 0.0103295 
0.617033 0.0389739 0.0121087 
0.658505 0.0452785 0.0140907 
0.700658 0.0522749 0.0163064 
0.743553 0.0600322 0.0187835 
0.787121 0.0685891 0.0215427 
0.831337 0.0779953 0.0246107 
0.87602 0.088253 0.0280025 
0.921232 0.0994442 0.0317596 
0.966874 0.111597 0.0359104 
1.01308 0.124827 0.0405145 
1.05972 0.139153 0.0456054 
1.10693 0.154697 0.0512559 
1.15461 0.171497 0.0575155 
1.20273 0.189603 0.064446 
1.25128 0.20909 0.0721242 
1.30025 0.23003 0.0806356 
1.34983 0.252586 0.0901117 
1.3999 0.276784 0.100642 
1.45058 0.302773 0.11238 
1.50168 0.330533 0.125422 
1.55331 0.360214 0.139959 
1.60503 0.39167 0.15606 
1.65658 0.424832 0.173847 
